customer_id,tenure_months,monthly_logins,churn_probability,churned
CUST_000074,2,33,0.265,0
CUST_000075,2,27,0.295,0
CUST_000076,24,12,0.15,1
CUST_000077,10,13,0.285,0
CUST_000078,11,12,0.28,0
CUST_000079,2,6,0.4,0
CUST_000080,19,10,0.21,0
CUST_000081,5,13,0.335,1
CUST_000082,16,18,0.2,0
CUST_000083,19,13,0.195,0
CUST_000084,9,25,0.235,0
CUST_000085,23,19,0.125,0
CUST_000086,2,21,0.325,1
CUST_000087,3,17,0.235,0
CUST_000088,4,17,0.225,1
CUST_000089,2,22,0.32,1
CUST_000090,12,27,0.195,0
CUST_000091,10,14,0.28,0
CUST_000092,11,21,0.135,1
CUST_000093,18,16,0.19,0
CUST_000094,18,25,0.145,1
CUST_000095,7,25,0.255,0
CUST_000096,24,10,0.16,0
CUST_000097,15,19,0.205,0
CUST_000098,22,27,0.095,0
CUST_000099,5,36,0.22,0
CUST_000100,11,14,0.27,1
CUST_000101,17,27,0.145,1
CUST_000102,19,10,0.21,0
CUST_000103,2,15,0.355,0
CUST_000104,24,24,0.09,0
CUST_000105,16,15,0.115,0
CUST_000106,12,25,0.105,1
CUST_000107,5,23,0.285,0
CUST_000108,3,12,0.36,0
CUST_000109,18,27,0.135,0
CUST_000110,15,16,0.12,0
CUST_000111,19,18,0.17,0
CUST_000112,5,5,0.375,0
CUST_000113,14,26,0.18,0
CUST_000114,22,12,0.17,1
CUST_000115,4,19,0.215,0
CUST_000116,6,18,0.2,0
CUST_000117,6,13,0.325,1
CUST_000118,17,24,0.06,0
CUST_000119,23,0,0.22,0
CUST_000120,20,23,0.035,0
CUST_000121,7,34,0.21,0
CUST_000122,17,14,0.21,0
CUST_000123,8,14,0.2,0
CUST_000124,18,16,0.19,0
CUST_000125,19,22,0.05,0
CUST_000126,9,13,0.295,1
CUST_000127,21,13,0.075,0
CUST_000128,22,13,0.165,0
CUST_000129,19,16,0.18,0
CUST_000130,21,2,0.23,0
CUST_000131,15,24,0.08,0
CUST_000132,20,11,0.195,1
CUST_000133,21,18,0.15,0
CUST_000134,9,9,0.215,0
CUST_000135,7,4,0.36,0
CUST_000136,11,23,0.225,0
CUST_000137,3,13,0.255,0
CUST_000138,17,30,0.13,0
CUST_000139,2,17,0.345,0
CUST_000140,8,5,0.345,0
CUST_000141,12,6,0.3,0
CUST_000142,4,18,0.32,0
CUST_000143,13,15,0.245,0
CUST_000144,19,25,0.135,0
CUST_000145,20,28,0.02,0
CUST_000146,1,16,0.36,0
CUST_000147,23,19,0.125,0
CUST_000148,22,14,0.16,0
CUST_000149,3,20,0.32,0
CUST_000150,18,9,0.225,0
CUST_000151,21,34,0.07,0
CUST_000152,23,19,0.125,0
CUST_000153,21,10,0.19,0
CUST_000154,14,15,0.235,0
CUST_000155,7,30,0.23,0
CUST_000156,19,28,0.12,0
CUST_000157,15,16,0.22,0
CUST_000158,1,26,0.31,0
CUST_000159,17,14,0.21,0
CUST_000160,6,26,0.26,0
CUST_000161,14,24,0.19,0
CUST_000162,19,24,0.14,0
CUST_000163,5,19,0.305,1
CUST_000164,20,11,0.095,0
CUST_000165,11,21,0.235,1
CUST_000166,8,16,0.19,0
CUST_000167,4,16,0.33,1
CUST_000168,22,11,0.075,0
CUST_000169,12,15,0.255,0
CUST_000170,18,15,0.095,0
CUST_000171,12,32,0.17,0
CUST_000172,10,16,0.27,0
CUST_000173,10,20,0.25,0
CUST_000174,4,25,0.285,0
CUST_000175,13,19,0.125,0
CUST_000176,19,17,0.175,0
CUST_000177,21,5,0.215,1
CUST_000178,16,12,0.23,0
CUST_000179,16,1,0.185,1
CUST_000180,21,24,0.02,0
CUST_000181,21,15,0.165,0
CUST_000182,8,27,0.235,0
CUST_000183,14,10,0.26,0
CUST_000184,16,20,0.19,0
CUST_000185,10,14,0.28,0
CUST_000186,15,22,0.19,0
CUST_000187,1,1,0.435,1
CUST_000188,1,8,0.4,1
CUST_000189,13,12,0.26,1
CUST_000190,18,13,0.205,0
CUST_000191,24,1,0.205,1
CUST_000192,14,19,0.215,0
CUST_000193,3,13,0.255,1
CUST_000194,24,10,0.16,0
CUST_000195,11,18,0.25,0
CUST_000196,4,21,0.305,0
CUST_000197,21,16,0.16,0
CUST_000198,15,12,0.24,1
CUST_000199,22,23,0.115,0
CUST_000200,1,27,0.305,0
CUST_000201,8,23,0.155,0
CUST_000202,15,16,0.22,0
CUST_000203,11,11,0.185,0
CUST_000204,21,10,0.19,0
CUST_000205,22,24,0.11,0
CUST_000206,17,10,0.23,1
CUST_000207,15,17,0.215,0
CUST_000208,5,15,0.325,0
CUST_000209,3,14,0.35,0
CUST_000210,4,20,0.31,0
CUST_000211,11,19,0.145,0
CUST_000212,18,21,0.165,0
CUST_000213,9,13,0.295,1
CUST_000214,20,7,0.115,0
CUST_000215,6,9,0.345,1
CUST_000216,15,22,0.19,1
CUST_000217,3,16,0.34,0
CUST_000218,13,10,0.27,0
CUST_000219,4,15,0.335,1
CUST_000220,7,19,0.285,0
CUST_000221,10,13,0.285,0
CUST_000222,21,35,0.02,0
CUST_000223,6,27,0.255,1
CUST_000224,12,15,0.155,0
CUST_000225,7,19,0.285,0
CUST_000226,24,21,0.105,0
CUST_000227,19,17,0.175,0
CUST_000228,13,14,0.25,0
CUST_000229,16,23,0.075,0
CUST_000230,1,13,0.375,0
CUST_000231,3,22,0.21,1
CUST_000232,14,8,0.27,0
CUST_000233,21,21,0.135,0
CUST_000234,15,31,0.145,1
CUST_000235,8,16,0.29,0
CUST_000236,17,26,0.05,0
CUST_000237,18,14,0.2,0
CUST_000238,20,12,0.19,0
CUST_000239,5,9,0.355,0
CUST_000240,15,24,0.18,0
CUST_000241,2,15,0.355,0
CUST_000242,7,4,0.36,0
CUST_000243,12,14,0.26,0
CUST_000244,22,5,0.205,0
CUST_000245,16,13,0.225,1
CUST_000246,1,24,0.32,0
CUST_000247,19,22,0.15,0
CUST_000248,17,30,0.03,0
CUST_000249,15,15,0.125,0
CUST_000250,18,14,0.2,0
CUST_000251,21,12,0.18,0
CUST_000252,9,16,0.28,0
CUST_000253,7,26,0.15,0
CUST_000254,2,24,0.21,0
CUST_000255,15,15,0.225,1
CUST_000256,21,16,0.16,0
CUST_000257,24,19,0.02,0
CUST_000258,10,28,0.11,0
CUST_000259,16,26,0.16,0
CUST_000260,8,9,0.325,1
CUST_000261,7,27,0.145,0
CUST_000262,19,18,0.17,0
CUST_000263,14,1,0.205,0
CUST_000264,10,17,0.165,0
CUST_000265,11,18,0.15,0
CUST_000266,20,32,0.02,0
CUST_000267,17,21,0.175,0
CUST_000268,16,25,0.165,0
CUST_000269,9,21,0.255,0
CUST_000270,22,11,0.175,0
CUST_000271,23,18,0.13,0
CUST_000272,21,10,0.19,0
CUST_000273,5,13,0.335,0
CUST_000274,2,14,0.36,1
CUST_000275,6,2,0.28,1
CUST_000276,20,18,0.16,0
CUST_000277,8,14,0.3,0
CUST_000278,17,24,0.16,0
CUST_000279,5,22,0.19,0
CUST_000280,1,11,0.285,0
CUST_000281,15,24,0.08,0
CUST_000282,22,5,0.205,1
CUST_000283,24,16,0.13,0
CUST_000284,14,23,0.195,0
CUST_000285,21,13,0.075,0
CUST_000286,3,8,0.28,0
CUST_000287,14,18,0.22,0
CUST_000288,13,6,0.29,0
CUST_000289,2,24,0.31,1
CUST_000290,4,16,0.23,0
CUST_000291,6,15,0.315,1
CUST_000292,9,29,0.115,0
CUST_000293,17,30,0.13,0
CUST_000294,20,8,0.21,0
CUST_000295,14,24,0.19,1
CUST_000296,24,7,0.175,0
CUST_000297,4,21,0.305,1
CUST_000298,13,25,0.195,1
CUST_000299,11,14,0.27,0
CUST_000300,6,17,0.205,0
CUST_000301,16,21,0.185,0
CUST_000302,22,16,0.05,0
CUST_000303,7,27,0.245,0
CUST_000304,6,14,0.32,0
CUST_000305,11,27,0.205,0
CUST_000306,19,17,0.175,0
CUST_000307,21,21,0.135,0
CUST_000308,14,16,0.23,0
CUST_000309,19,19,0.065,0
CUST_000310,15,6,0.27,0
CUST_000311,9,14,0.29,1
CUST_000312,8,5,0.345,0
CUST_000313,24,20,0.11,0
CUST_000314,8,22,0.26,1
CUST_000315,9,2,0.35,0
CUST_000316,6,5,0.365,0
CUST_000317,18,16,0.19,1
CUST_000318,13,16,0.24,1
CUST_000319,15,17,0.215,1
CUST_000320,24,17,0.125,0
CUST_000321,23,31,0.02,0
CUST_000322,6,33,0.225,0
CUST_000323,22,21,0.125,0
CUST_000324,21,19,0.045,0
CUST_000325,15,18,0.11,0
CUST_000326,17,13,0.215,0
CUST_000327,18,21,0.165,0
CUST_000328,14,19,0.215,1
CUST_000329,4,27,0.175,0
CUST_000330,3,17,0.335,0
CUST_000331,12,22,0.22,0
CUST_000332,19,15,0.185,1
CUST_000333,3,13,0.255,0
CUST_000334,14,25,0.185,0
CUST_000335,4,26,0.18,0
CUST_000336,23,21,0.115,0
CUST_000337,9,34,0.09,0
CUST_000338,12,20,0.13,0
CUST_000339,9,23,0.145,0
CUST_000340,20,9,0.105,0
CUST_000341,11,17,0.255,0
CUST_000342,23,16,0.14,1
CUST_000343,1,24,0.32,1
CUST_000344,22,21,0.125,0
CUST_000345,19,8,0.22,1
CUST_000346,6,6,0.26,0
CUST_000347,18,15,0.195,0
CUST_000348,2,22,0.32,0
CUST_000349,21,17,0.155,0
CUST_000350,14,14,0.14,0
CUST_000351,19,16,0.18,0
CUST_000352,2,12,0.27,0
CUST_000353,10,9,0.305,0
CUST_000354,20,17,0.165,0
CUST_000355,3,13,0.355,0
CUST_000356,19,8,0.22,0
CUST_000357,11,21,0.235,0
CUST_000358,19,14,0.19,0
CUST_000359,17,28,0.14,0
CUST_000360,6,29,0.245,1
CUST_000361,10,17,0.265,0
CUST_000362,14,17,0.225,0
CUST_000363,2,18,0.34,0
CUST_000364,11,32,0.18,0
CUST_000365,10,23,0.235,0
CUST_000366,23,26,0.09,0
CUST_000367,6,8,0.35,1
CUST_000368,7,17,0.295,0
CUST_000369,9,14,0.19,0
CUST_000370,17,16,0.2,0
CUST_000371,5,24,0.18,0
CUST_000372,21,19,0.145,0
CUST_000373,10,0,0.35,1
CUST_000374,6,32,0.23,0
CUST_000375,7,10,0.23,0
CUST_000376,14,24,0.19,0
CUST_000377,7,18,0.29,0
CUST_000378,23,20,0.02,0
CUST_000379,24,2,0.2,0
CUST_000380,23,30,0.07,0
CUST_000381,12,11,0.275,1
CUST_000382,15,21,0.195,0
CUST_000383,7,34,0.21,0
CUST_000384,16,17,0.205,0
CUST_000385,2,18,0.24,0
CUST_000386,11,27,0.105,0
CUST_000387,23,17,0.035,0
CUST_000388,5,15,0.325,1
CUST_000389,6,0,0.39,0
CUST_000390,10,26,0.12,0
CUST_000391,21,12,0.08,0
CUST_000392,19,28,0.12,0
CUST_000393,5,12,0.34,0
CUST_000394,5,19,0.305,0
CUST_000395,13,8,0.28,0
CUST_000396,20,19,0.155,1
CUST_000397,24,18,0.12,1
CUST_000398,4,14,0.34,0
CUST_000399,21,0,0.24,0
CUST_000400,21,26,0.11,0
CUST_000401,12,31,0.075,0
CUST_000402,23,22,0.11,0
CUST_000403,21,27,0.105,0
CUST_000404,7,28,0.24,0
CUST_000405,2,9,0.385,0
CUST_000406,10,9,0.305,0
CUST_000407,15,10,0.25,1
CUST_000408,18,16,0.19,1
CUST_000409,20,19,0.155,0
CUST_000410,4,18,0.22,0
CUST_000411,6,16,0.21,0
CUST_000412,13,15,0.245,0
CUST_000413,2,19,0.335,0
CUST_000414,14,33,0.145,0
CUST_000415,12,26,0.2,0
CUST_000416,8,27,0.235,0
CUST_000417,16,19,0.095,0
CUST_000418,6,14,0.32,0
CUST_000419,2,15,0.355,1
CUST_000420,4,20,0.21,0
CUST_000421,3,22,0.31,0
CUST_000422,10,23,0.135,0
CUST_000423,14,10,0.26,0
CUST_000424,16,15,0.215,0
CUST_000425,24,20,0.11,0
CUST_000426,11,21,0.235,0
CUST_000427,9,26,0.23,0
CUST_000428,8,24,0.25,1
CUST_000429,16,5,0.165,1
CUST_000430,3,32,0.26,0
CUST_000431,6,16,0.31,1
CUST_000432,13,14,0.15,0
CUST_000433,1,0,0.44,0
CUST_000434,1,21,0.335,0
CUST_000435,1,16,0.36,1
CUST_000436,22,27,0.095,0
CUST_000437,19,35,0.085,0
CUST_000438,1,23,0.325,0
CUST_000439,14,17,0.225,0
CUST_000440,20,20,0.15,0
CUST_000441,11,20,0.14,0
CUST_000442,1,17,0.355,0
CUST_000443,3,11,0.365,1
CUST_000444,23,16,0.14,0
CUST_000445,14,23,0.195,0
CUST_000446,21,24,0.12,0
CUST_000447,17,29,0.135,0
CUST_000448,17,11,0.225,1
CUST_000449,16,16,0.11,0
CUST_000450,2,18,0.34,0
CUST_000451,23,7,0.185,0
CUST_000452,20,31,0.095,0
CUST_000453,15,4,0.28,1
CUST_000454,14,16,0.13,0
CUST_000455,10,22,0.24,0
CUST_000456,10,28,0.21,0
CUST_000457,6,8,0.35,1
CUST_000458,8,9,0.225,0
CUST_000459,17,15,0.205,0
CUST_000460,23,19,0.125,0
CUST_000461,11,12,0.28,0
CUST_000462,14,21,0.205,0
CUST_000463,15,11,0.245,0
CUST_000464,12,23,0.215,0
CUST_000465,6,28,0.15,0
CUST_000466,24,34,0.04,0
CUST_000467,8,5,0.345,0
CUST_000468,2,4,0.41,1
CUST_000469,5,18,0.21,0
CUST_000470,11,15,0.265,1
CUST_000471,21,14,0.17,0
CUST_000472,23,27,0.02,0
CUST_000473,7,16,0.3,1
CUST_000474,19,25,0.135,0
CUST_000475,9,22,0.25,1
CUST_000476,7,13,0.215,0
CUST_000477,18,18,0.08,0
CUST_000478,16,22,0.18,0
CUST_000479,13,10,0.27,0
CUST_000480,6,11,0.335,0
CUST_000481,14,19,0.215,0
CUST_000482,15,9,0.255,0
CUST_000483,5,27,0.265,0
CUST_000484,17,18,0.19,1
CUST_000485,13,12,0.26,0
CUST_000486,11,25,0.215,1
CUST_000487,19,12,0.2,1
CUST_000488,10,18,0.16,0
CUST_000489,21,15,0.165,0
CUST_000490,1,11,0.285,0
CUST_000491,23,19,0.125,1
CUST_000492,17,18,0.19,1
CUST_000493,10,35,0.175,0
CUST_000494,18,5,0.245,1
CUST_000495,8,11,0.315,0
CUST_000496,17,7,0.245,1
CUST_000497,10,25,0.225,0
CUST_000498,12,26,0.2,0
CUST_000499,5,20,0.3,1
CUST_000500,24,29,0.065,0
CUST_000501,2,16,0.25,0
CUST_000502,24,27,0.075,0
CUST_000503,4,14,0.34,0
CUST_000504,21,16,0.16,0
CUST_000505,18,18,0.18,0
CUST_000506,14,28,0.17,0
CUST_000507,7,9,0.235,0
CUST_000508,5,8,0.36,0
CUST_000509,20,29,0.02,0
CUST_000510,12,25,0.105,0
CUST_000511,5,15,0.225,0
CUST_000512,22,27,0.02,0
CUST_000513,15,14,0.23,0
CUST_000514,5,2,0.39,0
CUST_000515,7,5,0.355,1
CUST_000516,3,15,0.345,0
CUST_000517,3,25,0.295,0
CUST_000518,23,11,0.065,0
CUST_000519,3,8,0.28,0
CUST_000520,18,14,0.2,1
CUST_000521,15,15,0.225,0
CUST_000522,2,16,0.25,0
CUST_000523,18,8,0.23,1
CUST_000524,1,16,0.36,0
CUST_000525,14,24,0.19,0
CUST_000526,23,15,0.145,0
CUST_000527,14,2,0.3,0
CUST_000528,24,17,0.125,0
CUST_000529,15,18,0.21,0
CUST_000530,12,4,0.31,1
CUST_000531,24,24,0.09,0
CUST_000532,10,7,0.315,0
CUST_000533,24,17,0.025,0
CUST_000534,2,16,0.35,1
CUST_000535,20,11,0.195,1
CUST_000536,22,17,0.145,0
CUST_000537,1,20,0.34,1
CUST_000538,13,2,0.21,0
CUST_000539,7,26,0.25,0
CUST_000540,16,11,0.235,1
CUST_000541,19,18,0.17,0
CUST_000542,10,23,0.235,0
CUST_000543,18,12,0.21,0
CUST_000544,22,23,0.115,0
CUST_000545,10,20,0.25,1
CUST_000546,6,26,0.26,1
CUST_000547,22,17,0.145,0
CUST_000548,13,21,0.215,0
CUST_000549,8,14,0.2,0
CUST_000550,18,16,0.19,1
CUST_000551,9,20,0.26,0
CUST_000552,6,18,0.3,0
CUST_000553,1,18,0.35,0
CUST_000554,19,21,0.155,0
CUST_000555,21,11,0.185,1
CUST_000556,1,33,0.275,0
CUST_000557,11,29,0.195,0
CUST_000558,24,18,0.02,0
CUST_000559,21,14,0.17,0
CUST_000560,5,21,0.295,1
CUST_000561,11,17,0.255,0
CUST_000562,5,26,0.27,0
CUST_000563,22,22,0.02,0
CUST_000564,20,8,0.21,0
CUST_000565,3,33,0.255,0
CUST_000566,24,19,0.115,1
CUST_000567,1,18,0.35,1
CUST_000568,10,20,0.25,1
CUST_000569,8,22,0.26,0
CUST_000570,21,15,0.065,0
CUST_000571,19,10,0.21,0
CUST_000572,1,12,0.38,1
CUST_000573,8,1,0.365,1
CUST_000574,3,25,0.295,0
CUST_000575,3,15,0.245,1
CUST_000576,22,8,0.09,0
CUST_000577,7,12,0.32,0
CUST_000578,8,14,0.3,1
CUST_000579,1,10,0.39,0
CUST_000580,19,10,0.11,0
CUST_000581,2,23,0.315,0
CUST_000582,5,16,0.32,1
CUST_000583,7,12,0.32,1
CUST_000584,17,14,0.21,1
CUST_000585,12,29,0.085,1
CUST_000586,16,12,0.23,0
CUST_000587,6,19,0.295,0
CUST_000588,8,28,0.23,0
CUST_000589,11,29,0.095,0
CUST_000590,24,23,0.095,0
CUST_000591,13,22,0.21,0
CUST_000592,7,8,0.34,1
CUST_000593,22,24,0.11,0
CUST_000594,9,24,0.24,0
CUST_000595,3,17,0.335,1
CUST_000596,12,20,0.23,0
CUST_000597,23,14,0.15,0
CUST_000598,14,17,0.225,0
CUST_000599,11,34,0.17,0
CUST_000600,9,29,0.215,1
CUST_000601,20,11,0.195,0
CUST_000602,14,24,0.19,0
CUST_000603,18,10,0.22,1
CUST_000604,12,17,0.245,0
CUST_000605,6,18,0.3,0
CUST_000606,22,15,0.155,0
CUST_000607,2,16,0.35,0
CUST_000608,2,24,0.21,0
CUST_000609,1,26,0.31,0
CUST_000610,22,10,0.08,0
CUST_000611,14,12,0.25,0
CUST_000612,9,14,0.19,0
CUST_000613,10,29,0.205,1
CUST_000614,12,15,0.155,0
CUST_000615,19,18,0.17,0
CUST_000616,24,11,0.155,0
CUST_000617,17,4,0.26,0
CUST_000618,6,24,0.27,1
CUST_000619,8,20,0.27,0
CUST_000620,3,19,0.325,0
CUST_000621,10,9,0.305,0
CUST_000622,5,10,0.35,0
CUST_000623,1,0,0.44,0
CUST_000624,22,21,0.125,0
CUST_000625,13,8,0.28,0
CUST_000626,9,16,0.28,0
CUST_000627,4,31,0.155,0
CUST_000628,9,19,0.265,0
CUST_000629,12,25,0.205,0
CUST_000630,15,18,0.21,0
CUST_000631,17,20,0.18,0
CUST_000632,20,27,0.115,0
CUST_000633,7,16,0.3,0
CUST_000634,12,49,0.085,0
CUST_000635,12,32,0.17,0
CUST_000636,19,10,0.21,0
CUST_000637,12,1,0.325,1
CUST_000638,5,32,0.24,0
CUST_000639,17,16,0.2,0
CUST_000640,22,20,0.13,1
CUST_000641,3,16,0.34,0
CUST_000642,15,7,0.165,0
CUST_000643,7,21,0.275,1
CUST_000644,20,31,0.095,0
CUST_000645,21,19,0.145,0
CUST_000646,6,20,0.29,0
CUST_000647,16,6,0.26,0
CUST_000648,5,20,0.3,0
CUST_000649,8,19,0.175,1
CUST_000650,19,16,0.08,0
CUST_000651,2,13,0.365,0
CUST_000652,3,12,0.36,1
CUST_000653,3,27,0.285,1
CUST_000654,4,20,0.31,0
CUST_000655,13,23,0.205,1
CUST_000656,13,5,0.295,0
CUST_000657,22,25,0.105,0
CUST_000658,17,16,0.1,0
CUST_000659,18,19,0.175,0
CUST_000660,19,27,0.125,0
CUST_000661,3,20,0.32,0
CUST_000662,19,21,0.155,0
CUST_000663,24,16,0.13,1
CUST_000664,12,10,0.18,0
CUST_000665,7,25,0.255,0
CUST_000666,12,16,0.25,0
CUST_000667,4,17,0.325,0
CUST_000668,24,16,0.13,0
CUST_000669,2,17,0.345,0
CUST_000670,4,16,0.33,1
CUST_000671,5,31,0.245,0
CUST_000672,18,32,0.11,0
CUST_000673,22,19,0.135,0
CUST_000674,7,5,0.355,0
CUST_000675,10,14,0.28,0
CUST_000676,10,20,0.15,0
CUST_000677,14,25,0.085,0
CUST_000678,10,24,0.23,0
CUST_000679,5,21,0.195,1
CUST_000680,16,19,0.195,0
CUST_000681,12,27,0.195,0
CUST_000682,15,19,0.205,0
CUST_000683,7,20,0.28,0
CUST_000684,12,10,0.28,1
CUST_000685,13,21,0.115,0
CUST_000686,8,26,0.24,0
CUST_000687,15,13,0.235,1
CUST_000688,20,3,0.235,1
CUST_000689,17,14,0.21,0
CUST_000690,15,18,0.21,0
CUST_000691,16,12,0.23,0
CUST_000692,2,15,0.355,1
CUST_000693,12,28,0.19,0
CUST_000694,4,21,0.205,0
CUST_000695,22,20,0.03,0
CUST_000696,14,24,0.09,0
CUST_000697,7,12,0.32,1
CUST_000698,12,29,0.185,0
CUST_000699,6,5,0.365,0
CUST_000700,15,26,0.17,0
CUST_000701,24,10,0.16,0
CUST_000702,22,23,0.115,0
CUST_000703,15,6,0.27,1
CUST_000704,14,20,0.21,0
CUST_000705,7,9,0.235,0
CUST_000706,14,17,0.125,0
CUST_000707,8,13,0.305,1
CUST_000708,16,23,0.175,1
CUST_000709,24,18,0.12,0
CUST_000710,21,38,0.05,0
CUST_000711,12,27,0.195,0
CUST_000712,14,23,0.195,0
CUST_000713,7,9,0.335,0
CUST_000714,15,14,0.23,0
CUST_000715,17,17,0.195,1
CUST_000716,13,16,0.24,0
CUST_000717,19,29,0.115,0
CUST_000718,22,6,0.2,1
CUST_000719,11,19,0.245,0
CUST_000720,4,31,0.255,1
CUST_000721,24,20,0.11,0
CUST_000722,19,27,0.125,0
CUST_000723,23,19,0.125,0
CUST_000724,22,21,0.125,0
CUST_000725,1,17,0.355,0
CUST_000726,13,22,0.21,0
CUST_000727,18,31,0.115,0
CUST_000728,20,21,0.145,0
CUST_000729,23,16,0.14,0
CUST_000730,24,20,0.11,0
CUST_000731,24,26,0.02,0
CUST_000732,21,24,0.02,0
CUST_000733,16,15,0.215,0
CUST_000734,22,4,0.21,0
CUST_000735,4,33,0.245,0
CUST_000736,6,25,0.265,0
CUST_000737,2,13,0.365,1
CUST_000738,4,10,0.26,1
CUST_000739,7,17,0.295,0
CUST_000740,24,0,0.21,0
CUST_000741,18,11,0.115,0
CUST_000742,21,9,0.195,0
CUST_000743,2,0,0.43,1
CUST_000744,14,23,0.195,1
CUST_000745,24,11,0.155,0
CUST_000746,15,18,0.21,1
CUST_000747,1,16,0.36,0
CUST_000748,4,16,0.33,0
CUST_000749,23,24,0.02,0
CUST_000750,9,19,0.265,0
CUST_000751,22,20,0.13,0
CUST_000752,6,16,0.31,0
CUST_000753,8,9,0.325,0
CUST_000754,19,20,0.16,0
CUST_000755,18,18,0.18,0
CUST_000756,8,19,0.275,0
CUST_000757,17,26,0.15,0
CUST_000758,13,12,0.26,0
CUST_000759,24,27,0.075,0
CUST_000760,4,23,0.295,0
CUST_000761,6,21,0.285,0
CUST_000762,21,6,0.21,0
CUST_000763,19,26,0.13,0
CUST_000764,18,8,0.23,0
CUST_000765,19,29,0.115,1
CUST_000766,21,27,0.02,0
CUST_000767,22,9,0.185,0
CUST_000768,18,13,0.205,0
CUST_000769,22,33,0.065,0
CUST_000770,21,11,0.085,0
CUST_000771,1,7,0.405,0
CUST_000772,11,21,0.235,1
CUST_000773,12,7,0.295,1
CUST_000774,4,18,0.32,1
CUST_000775,22,20,0.13,0
CUST_000776,18,17,0.085,0
CUST_000777,5,10,0.35,1
CUST_000778,7,13,0.315,0
CUST_000779,6,13,0.325,0
CUST_000780,15,11,0.245,1
CUST_000781,24,16,0.13,0
CUST_000782,1,29,0.295,0
CUST_000783,4,15,0.335,1
CUST_000784,18,14,0.2,0
CUST_000785,10,12,0.29,1
CUST_000786,13,29,0.175,0
CUST_000787,18,19,0.075,0
CUST_000788,21,20,0.04,0
CUST_000789,19,10,0.11,0
CUST_000790,13,27,0.185,1
CUST_000791,21,38,0.05,0
CUST_000792,24,6,0.18,0
CUST_000793,17,25,0.155,0
CUST_000794,1,11,0.385,0
CUST_000795,24,17,0.125,0
CUST_000796,15,12,0.24,0
CUST_000797,1,10,0.39,0
CUST_000798,6,15,0.315,1
CUST_000799,10,17,0.165,0
CUST_000800,10,25,0.225,0
CUST_000801,8,18,0.18,1
CUST_000802,22,26,0.1,0
CUST_000803,19,16,0.18,0
CUST_000804,19,28,0.12,0
CUST_000805,10,17,0.265,0
CUST_000806,20,16,0.07,0
CUST_000807,21,25,0.115,0
CUST_000808,5,12,0.24,0
CUST_000809,24,9,0.165,0
CUST_000810,3,12,0.36,0
CUST_000811,22,9,0.185,0
CUST_000812,12,24,0.11,0
CUST_000813,9,13,0.195,1
CUST_000814,5,13,0.235,1
CUST_000815,15,18,0.21,1
CUST_000816,15,29,0.155,0
CUST_000817,20,9,0.205,1
CUST_000818,21,20,0.14,0
CUST_000819,17,24,0.16,0
