date,campaign_id,channel,campaign_type,spend,impressions,ctr,clicks,landing_page_views,add_to_cart,conversion_rate,purchases,aov,revenue,roi
2024-01-05,CMP_20240105_Organic,Organic,Conversion,7017.03,466993,0.0935,43681,25793,6180,0.0671,414,374.58,155074.46,21.0997
2024-01-05,CMP_20240105_YouTube,YouTube,Conversion,4229.97,183930,0.0664,12205,5285,1224,0.0328,40,328.08,13123.03,2.1024
2024-01-06,CMP_20240106_Google_Ads,Google Ads,Awareness,8749.3,558095,0.1449,80894,35825,7560,0.2389,1805,189.24,341586.08,38.0415
2024-01-06,CMP_20240106_Meta,Meta,Awareness,8587.12,173553,0.0763,13244,9963,2251,0.1565,352,296.64,104416.36,11.1596
2024-01-06,CMP_20240106_Email,Email,Conversion,10394.91,432331,0.1097,47410,36138,7343,0.1269,931,354.28,329838.55,30.7308
2024-01-06,CMP_20240106_Referral,Referral,Conversion,3617.56,184285,0.1354,24957,16574,3821,0.2051,783,63.35,49599.21,12.7107
2024-01-06,CMP_20240106_Organic,Organic,Conversion,14893.77,970074,0.1115,108177,84010,16818,0.1849,3110,288.51,897253.89,59.2436
2024-01-06,CMP_20240106_YouTube,YouTube,Retention,14071.45,966943,0.0702,67899,42020,7489,0.0818,612,340.11,208147.44,13.7922
2024-01-07,CMP_20240107_Google_Ads,Google Ads,Retention,11147.26,502701,0.0525,26412,19469,3092,0.1533,474,68.73,32578.71,1.9226
2024-01-07,CMP_20240107_Meta,Meta,Awareness,9144.67,401524,0.071,28492,24953,2931,0.1591,466,127.04,59198.98,5.4736
2024-01-07,CMP_20240107_Email,Email,Conversion,4969.63,247281,0.0963,23810,14294,2938,0.1753,515,398.53,205241.23,40.2991
2024-01-07,CMP_20240107_Referral,Referral,Retention,12337.9,375062,0.1155,43325,29585,5322,0.1343,714,62.02,44283.91,2.5893
2024-01-07,CMP_20240107_Organic,Organic,Retention,3441.53,99886,0.1401,13993,9765,1889,0.1524,287,259.19,74388.13,20.6149
2024-01-07,CMP_20240107_YouTube,YouTube,Conversion,3638.82,214870,0.023,4935,2871,674,0.0926,62,164.93,10225.64,1.8102
2024-01-08,CMP_20240108_Google_Ads,Google Ads,Retention,9438.37,672747,0.1311,88186,73128,18363,0.1561,2865,271.03,776493.41,81.2699
2024-01-08,CMP_20240108_Meta,Meta,Retention,12154.93,615404,0.0927,57075,37700,9094,0.1101,1001,337.44,337780.74,26.7896
2024-01-08,CMP_20240108_Email,Email,Awareness,5153.75,263026,0.1201,31583,20275,2305,0.1489,343,386.38,132529.19,24.7151
2024-01-08,CMP_20240108_Referral,Referral,Awareness,13546.94,332117,0.1027,34099,24828,4309,0.2236,963,309.53,298078.36,21.0034
2024-01-08,CMP_20240108_Organic,Organic,Conversion,9240.2,738269,0.1545,114084,84441,9980,0.1393,1390,252.05,350345.35,36.9153
2024-01-08,CMP_20240108_YouTube,YouTube,Conversion,3496.43,78409,0.0983,7706,5528,1376,0.067,92,465.71,42845.16,11.254
2024-01-09,CMP_20240109_Google_Ads,Google Ads,Conversion,12982.14,378670,0.1046,39624,25567,5339,0.0906,483,381.79,184404.97,13.2045
2024-01-09,CMP_20240109_Meta,Meta,Conversion,9950.84,395087,0.1012,39968,23545,3708,0.0672,249,367.84,91591.27,8.2044
2024-01-09,CMP_20240109_Email,Email,Retention,2284.69,84537,0.098,8287,6140,1402,0.0569,79,189.76,14991.27,5.5616
2024-01-09,CMP_20240109_Referral,Referral,Retention,13540.33,518810,0.1067,55365,27790,5677,0.1669,947,254.0,240538.42,16.7646
2024-01-09,CMP_20240109_Organic,Organic,Awareness,3243.88,187972,0.1404,26392,18212,3011,0.1662,500,248.07,124035.96,37.237
2024-01-09,CMP_20240109_YouTube,YouTube,Conversion,14380.77,1012534,0.0628,63541,41773,4537,0.191,866,350.89,303871.53,20.1304
2024-01-10,CMP_20240110_Google_Ads,Google Ads,Retention,8800.65,225561,0.0641,14448,7848,909,0.0895,81,421.1,34108.72,2.8757
2024-01-10,CMP_20240110_Meta,Meta,Retention,10879.45,388814,0.1073,41726,21325,3379,0.1587,536,480.12,257346.68,22.6544
2024-01-10,CMP_20240110_Email,Email,Awareness,786.91,59095,0.0711,4202,2347,490,0.245,120,230.42,27649.94,34.1376
2024-01-10,CMP_20240110_Referral,Referral,Awareness,9606.57,657049,0.1062,69759,52931,5590,0.1612,901,101.53,91476.96,8.5223
2024-01-10,CMP_20240110_Organic,Organic,Retention,1536.51,46796,0.1242,5813,3678,464,0.2346,108,409.73,44250.81,27.7995
2024-01-10,CMP_20240110_YouTube,YouTube,Awareness,11836.74,758676,0.0747,56709,27489,5628,0.1305,734,139.03,102045.0,7.621
2024-01-11,CMP_20240111_Google_Ads,Google Ads,Conversion,3102.07,139756,0.0456,6375,4469,764,0.1825,139,220.04,30585.0,8.8595
2024-01-11,CMP_20240111_Meta,Meta,Retention,8005.49,463328,0.0791,36657,19396,3944,0.1186,467,447.48,208973.19,25.1037
2024-01-11,CMP_20240111_Email,Email,Awareness,12150.39,875421,0.0983,86081,44899,4416,0.1235,545,334.82,182479.41,14.0184
2024-01-11,CMP_20240111_Referral,Referral,Retention,12922.73,540873,0.1013,54810,28463,5981,0.1981,1184,223.09,264136.86,19.4397
2024-01-11,CMP_20240111_Organic,Organic,Retention,8789.99,591061,0.1034,61143,38092,4871,0.2265,1103,221.72,244559.26,26.8225
2024-01-11,CMP_20240111_YouTube,YouTube,Awareness,6406.96,460812,0.0589,27146,13148,3710,0.145,538,186.63,100405.93,14.6714
2024-01-12,CMP_20240112_Google_Ads,Google Ads,Conversion,11004.09,279562,0.0831,23236,12971,1534,0.1383,212,111.54,23645.78,1.1488
2024-01-12,CMP_20240112_Meta,Meta,Conversion,5306.55,351333,0.1011,35514,18733,4676,0.1321,617,194.71,120133.68,21.6388
2024-01-12,CMP_20240112_Email,Email,Retention,3452.35,173897,0.0768,13354,8148,1938,0.1305,252,135.32,34101.02,8.8776
2024-01-12,CMP_20240112_Referral,Referral,Retention,8135.96,354299,0.1118,39606,23271,4320,0.2151,929,74.26,68988.26,7.4794
2024-01-12,CMP_20240112_Organic,Organic,Conversion,4136.62,119601,0.097,11604,7541,1950,0.1494,291,196.97,57318.03,12.8562
2024-01-12,CMP_20240112_YouTube,YouTube,Awareness,3694.55,189456,0.0717,13582,9347,1343,0.1156,155,174.42,27035.26,6.3176
2024-01-13,CMP_20240113_Google_Ads,Google Ads,Awareness,9130.39,703564,0.101,71037,54743,6483,0.0911,590,388.97,229494.09,24.1352
2024-01-13,CMP_20240113_Meta,Meta,Retention,3554.94,79527,0.1216,9672,6177,1189,0.1109,131,402.69,52752.62,13.8393
2024-01-13,CMP_20240113_Email,Email,Conversion,5638.94,345178,0.0539,18603,11267,2555,0.1053,268,353.49,94736.33,15.8004
2024-01-13,CMP_20240113_Referral,Referral,Retention,11040.58,408833,0.1147,46894,31829,4587,0.2099,962,383.66,369083.55,32.4297
2024-01-13,CMP_20240113_Organic,Organic,Awareness,3307.69,192468,0.1086,20895,9267,2256,0.2629,592,392.75,232507.94,69.2931
2024-01-13,CMP_20240113_YouTube,YouTube,Awareness,6481.13,211831,0.067,14191,8655,2326,0.0295,68,427.57,29074.84,3.4861
2024-01-14,CMP_20240114_Google_Ads,Google Ads,Retention,4781.87,221208,0.0975,21574,11344,2336,0.2008,469,460.41,215934.39,44.1569
2024-01-14,CMP_20240114_Meta,Meta,Awareness,6653.53,361520,0.1063,38444,27041,5074,0.1139,577,259.39,149669.2,21.4947
2024-01-14,CMP_20240114_Email,Email,Awareness,6319.01,448580,0.1131,50714,25174,5133,0.2482,1273,428.23,545139.0,85.2697
2024-01-14,CMP_20240114_Referral,Referral,Retention,6543.97,416434,0.1201,50023,36031,5215,0.1437,749,442.62,331525.61,49.6613
2024-01-14,CMP_20240114_Organic,Organic,Retention,3049.59,214032,0.1193,25538,14581,1882,0.1348,253,342.57,86670.09,27.4203
2024-01-14,CMP_20240114_YouTube,YouTube,Conversion,5991.23,325690,0.0578,18822,13825,2958,0.1073,317,84.09,26656.95,3.4493
2024-01-15,CMP_20240115_Google_Ads,Google Ads,Awareness,14488.33,1050606,0.0801,84174,63736,14082,0.1278,1800,488.76,879774.9,59.723
2024-01-15,CMP_20240115_Meta,Meta,Conversion,1204.63,51109,0.0741,3788,1991,374,0.1375,51,217.82,11109.07,8.222
2024-01-15,CMP_20240115_Email,Email,Conversion,11915.21,791419,0.1144,90530,65234,17659,0.0972,1715,115.16,197507.79,15.5761
2024-01-15,CMP_20240115_Referral,Referral,Retention,5191.71,263736,0.1123,29625,18714,4008,0.2516,1008,57.23,57688.85,10.1117
2024-01-15,CMP_20240115_Organic,Organic,Conversion,13803.15,442447,0.0944,41761,23458,3980,0.1353,538,213.18,114690.74,7.309
2024-01-15,CMP_20240115_YouTube,YouTube,Retention,1358.56,89229,0.0876,7816,6012,1248,0.2228,278,281.08,78139.72,56.5165
2024-01-16,CMP_20240116_Google_Ads,Google Ads,Conversion,7839.54,512177,0.0959,49141,28967,2470,0.1412,348,462.46,160937.51,19.5289
2024-01-16,CMP_20240116_Meta,Meta,Conversion,6916.94,207621,0.0993,20620,12430,2467,0.0823,203,376.48,76425.56,10.049
2024-01-16,CMP_20240116_Email,Email,Conversion,12153.25,471280,0.0933,43963,27784,6286,0.2475,1555,348.11,541317.25,43.5409
2024-01-16,CMP_20240116_Referral,Referral,Awareness,2938.79,163848,0.0966,15820,8237,1361,0.1747,237,421.82,99972.48,33.0182
2024-01-16,CMP_20240116_Organic,Organic,Retention,9712.4,281813,0.1003,28278,15174,2680,0.2555,684,378.79,259089.55,25.6762
2024-01-16,CMP_20240116_YouTube,YouTube,Conversion,4164.1,289841,0.0641,18589,12924,2603,0.1322,344,257.57,88605.24,20.2784
2024-01-17,CMP_20240117_Google_Ads,Google Ads,Conversion,8940.58,416388,0.0842,35052,20285,2419,0.1441,348,60.14,20929.51,1.341
2024-01-17,CMP_20240117_Meta,Meta,Awareness,2158.73,155044,0.045,6971,4648,1004,0.1002,100,414.66,41466.17,18.2086
2024-01-17,CMP_20240117_Email,Email,Retention,11971.57,648827,0.1065,69078,51402,11518,0.1715,1975,209.29,413350.76,33.5277
2024-01-17,CMP_20240117_Referral,Referral,Retention,888.81,44982,0.1047,4708,2246,197,0.1846,36,445.59,16041.09,17.0479
2024-01-17,CMP_20240117_Organic,Organic,Awareness,12422.77,914007,0.1142,104342,62252,15619,0.1492,2330,479.14,1116388.31,88.8663
2024-01-17,CMP_20240117_YouTube,YouTube,Awareness,9642.2,542608,0.0681,36965,26908,5796,0.115,666,498.01,331672.42,33.398
2024-01-18,CMP_20240118_Google_Ads,Google Ads,Awareness,7504.88,505355,0.1268,64077,33761,5650,0.048,271,396.47,107444.7,13.3166
2024-01-18,CMP_20240118_Meta,Meta,Awareness,856.77,31499,0.1014,3194,2440,426,0.1089,46,407.16,18729.56,20.8606
2024-01-18,CMP_20240118_Email,Email,Awareness,5448.8,362537,0.0961,34826,24218,3320,0.1462,485,182.68,88599.01,15.2603
2024-01-18,CMP_20240118_Referral,Referral,Awareness,6165.27,262160,0.1129,29584,18319,3473,0.1465,508,372.51,189236.9,29.694
2024-01-18,CMP_20240118_Organic,Organic,Awareness,13276.97,662465,0.1278,84649,49378,6082,0.1608,977,499.32,487839.79,35.7433
2024-01-18,CMP_20240118_YouTube,YouTube,Retention,4896.99,128333,0.129,16559,13781,1790,0.0424,75,94.72,7104.31,0.4508
2024-01-19,CMP_20240119_Google_Ads,Google Ads,Conversion,4340.71,289231,0.1015,29368,23250,2555,0.1263,322,471.9,151953.17,34.0065
2024-01-19,CMP_20240119_Meta,Meta,Retention,3547.7,180816,0.0882,15956,12777,1254,0.0735,92,140.5,12925.92,2.6435
2024-01-19,CMP_20240119_Email,Email,Awareness,6354.93,154880,0.0882,13664,9564,2136,0.1842,393,437.76,172038.31,26.0716
2024-01-19,CMP_20240119_Referral,Referral,Awareness,10258.69,651633,0.1211,78903,60196,13551,0.1879,2546,64.69,164696.88,15.0544
2024-01-19,CMP_20240119_Organic,Organic,Awareness,3727.8,135785,0.1427,19378,12162,1732,0.1913,331,289.15,95708.62,24.6743
2024-01-19,CMP_20240119_YouTube,YouTube,Conversion,1338.03,51521,0.0601,3098,2369,530,0.1082,57,493.09,28106.09,20.0056
2024-01-20,CMP_20240120_Google_Ads,Google Ads,Retention,13278.6,579464,0.1081,62619,45673,11061,0.1488,1646,50.39,82937.34,5.2459
2024-01-20,CMP_20240120_Meta,Meta,Retention,9380.8,379492,0.0938,35611,18862,4475,0.0467,208,377.73,78567.83,7.3754
2024-01-20,CMP_20240120_Email,Email,Conversion,986.91,77768,0.062,4824,3076,441,0.1382,60,376.34,22580.34,21.8799
2024-01-20,CMP_20240120_Referral,Referral,Retention,8423.8,456597,0.0991,45263,30799,6965,0.1448,1008,359.24,362113.95,41.987
2024-01-20,CMP_20240120_Organic,Organic,Retention,965.88,39292,0.098,3849,2740,534,0.129,68,184.52,12547.08,11.9903
2024-01-20,CMP_20240120_YouTube,YouTube,Retention,5073.81,336271,0.0809,27192,17568,2274,0.0997,226,335.81,75892.18,13.9576
2024-01-21,CMP_20240121_Google_Ads,Google Ads,Retention,11315.35,458146,0.0992,45431,29451,8541,0.2253,1924,438.28,843256.36,73.5232
2024-01-21,CMP_20240121_Meta,Meta,Awareness,8466.25,429180,0.0864,37075,26585,5433,0.1377,748,68.48,51224.5,5.0504
2024-01-21,CMP_20240121_Email,Email,Conversion,13228.77,279359,0.072,20108,11320,1498,0.1704,255,452.68,115433.01,7.7259
2024-01-21,CMP_20240121_Referral,Referral,Awareness,6396.51,394184,0.0808,31850,23294,1415,0.1996,282,218.58,61640.26,8.6365
2024-01-21,CMP_20240121_Organic,Organic,Conversion,2526.5,112741,0.0971,10948,7356,1541,0.1538,236,361.33,85272.91,32.7515
2024-01-21,CMP_20240121_YouTube,YouTube,Awareness,10540.89,611404,0.0569,34768,19343,2542,0.1307,332,488.77,162270.51,14.3944
2024-01-22,CMP_20240122_Google_Ads,Google Ads,Conversion,7068.72,364038,0.0724,26352,16045,3004,0.1391,417,123.32,51425.09,6.275
2024-01-22,CMP_20240122_Meta,Meta,Conversion,14422.56,1138499,0.0681,77570,50217,11140,0.0849,946,81.35,76959.84,4.3361
2024-01-22,CMP_20240122_Email,Email,Retention,3986.13,189570,0.0826,15653,8706,1340,0.145,194,479.73,93067.86,22.3479
2024-01-22,CMP_20240122_Referral,Referral,Conversion,10267.77,471075,0.0964,45422,33272,6017,0.1757,1057,489.48,517383.62,49.3891
2024-01-22,CMP_20240122_Organic,Organic,Retention,5531.22,213688,0.0901,19257,13025,2496,0.2279,568,351.03,199384.4,35.0471
2024-01-22,CMP_20240122_YouTube,YouTube,Retention,4222.03,99668,0.0803,8005,4582,997,0.1009,100,424.18,42418.33,9.0469
2024-01-23,CMP_20240123_Google_Ads,Google Ads,Awareness,7102.78,560118,0.0695,38901,24258,3908,0.1633,638,98.53,62864.52,7.8507
2024-01-23,CMP_20240123_Meta,Meta,Conversion,9830.87,343645,0.0792,27229,15718,3232,0.078,252,93.18,23482.18,1.3886
2024-01-23,CMP_20240123_Email,Email,Conversion,12164.29,363209,0.0795,28863,18843,1733,0.1057,183,337.19,61706.06,4.0727
2024-01-23,CMP_20240123_Referral,Referral,Conversion,3669.31,181935,0.1171,21303,11866,1986,0.1569,311,451.86,140528.64,37.2984
2024-01-23,CMP_20240123_Organic,Organic,Retention,9336.06,281842,0.107,30170,17336,4323,0.2519,1089,266.54,290258.25,30.09
2024-01-23,CMP_20240123_YouTube,YouTube,Awareness,9693.31,245582,0.0477,11724,6367,1139,0.2116,241,355.34,85636.05,7.8346
2024-01-24,CMP_20240124_Google_Ads,Google Ads,Conversion,4864.15,321001,0.106,34040,20197,3494,0.1935,676,378.53,255887.94,51.6069
2024-01-24,CMP_20240124_Meta,Meta,Awareness,11857.87,916104,0.0604,55318,36981,5829,0.0719,419,214.59,89913.52,6.5826
2024-01-24,CMP_20240124_Email,Email,Conversion,1973.59,133588,0.0744,9942,6670,1269,0.1401,177,429.99,76107.98,37.5631
2024-01-24,CMP_20240124_Referral,Referral,Retention,1817.61,89267,0.145,12940,8935,2150,0.1793,385,96.45,37133.67,19.43
2024-01-24,CMP_20240124_Organic,Organic,Retention,13671.85,794513,0.104,82654,65908,10061,0.2051,2063,490.06,1010986.47,72.9466
2024-01-24,CMP_20240124_YouTube,YouTube,Retention,8731.84,337189,0.0622,20981,13687,1839,0.1456,267,265.64,70925.91,7.1227
2024-01-25,CMP_20240125_Google_Ads,Google Ads,Awareness,3392.92,258188,0.0865,22336,10733,2159,0.1516,327,320.93,104943.2,29.93
2024-01-25,CMP_20240125_Meta,Meta,Awareness,3531.58,164281,0.102,16757,12851,3307,0.1434,474,223.72,106043.46,29.0272
2024-01-25,CMP_20240125_Email,Email,Retention,2013.39,121618,0.0927,11270,7100,1378,0.1296,178,153.02,27237.07,12.528
2024-01-25,CMP_20240125_Referral,Referral,Awareness,14242.69,556888,0.122,67929,44657,7024,0.1953,1371,412.31,565282.12,38.6893
2024-01-25,CMP_20240125_Organic,Organic,Awareness,6099.22,194782,0.1276,24854,20453,4208,0.1985,835,207.86,173558.98,27.4559
2024-01-25,CMP_20240125_YouTube,YouTube,Retention,6867.1,233144,0.0737,17181,9252,1196,0.0859,102,66.34,6766.92,-0.0146
2024-01-26,CMP_20240126_Google_Ads,Google Ads,Retention,6343.98,494998,0.0708,35023,25557,4991,0.0439,218,295.41,64399.14,9.1512
2024-01-26,CMP_20240126_Meta,Meta,Awareness,4116.88,156299,0.0819,12803,8761,2203,0.0933,205,123.24,25264.52,5.1368
2024-01-26,CMP_20240126_Email,Email,Awareness,13543.83,1074391,0.1282,137767,80335,16950,0.1075,1822,352.17,641645.7,46.3755
2024-01-26,CMP_20240126_Referral,Referral,Retention,9523.11,716594,0.0925,66302,51798,6028,0.1049,632,272.84,172435.79,17.1071
2024-01-26,CMP_20240126_Organic,Organic,Awareness,10328.19,730881,0.1073,78456,48163,6791,0.175,1188,206.45,245257.76,22.7464
2024-01-26,CMP_20240126_YouTube,YouTube,Retention,10283.5,688341,0.0457,31475,25380,4886,0.0955,466,113.54,52911.23,4.1453
2024-01-27,CMP_20240127_Google_Ads,Google Ads,Awareness,1301.78,67496,0.1076,7263,5454,573,0.2173,124,179.23,22224.6,16.0725
2024-01-27,CMP_20240127_Meta,Meta,Conversion,13294.11,555481,0.1193,66264,40227,8350,0.1763,1472,238.8,351507.46,25.4408
2024-01-27,CMP_20240127_Email,Email,Conversion,998.0,64008,0.1023,6545,4525,655,0.1531,100,276.33,27633.15,26.6886
2024-01-27,CMP_20240127_Referral,Referral,Conversion,11979.24,314465,0.1131,35570,24455,3858,0.1701,656,371.39,243629.77,19.3377
2024-01-27,CMP_20240127_Organic,Organic,Awareness,13040.03,450884,0.1027,46286,33868,6008,0.1552,932,68.17,63529.97,3.8719
2024-01-27,CMP_20240127_YouTube,YouTube,Conversion,14884.95,1007250,0.0555,55917,28374,7120,0.1019,725,356.38,258372.35,16.358
2024-01-28,CMP_20240128_Google_Ads,Google Ads,Conversion,9518.42,474249,0.1061,50299,27370,5014,0.1591,797,70.6,56266.23,4.9113
2024-01-28,CMP_20240128_Meta,Meta,Retention,13870.41,690069,0.0923,63692,38008,8303,0.1713,1422,312.47,444331.49,31.0345
2024-01-28,CMP_20240128_Email,Email,Retention,11545.51,349519,0.0998,34869,20048,3483,0.1267,441,410.11,180859.87,14.665
2024-01-28,CMP_20240128_Referral,Referral,Retention,13504.19,911201,0.1365,124366,84209,16983,0.1678,2849,431.45,1229209.74,90.0243
2024-01-28,CMP_20240128_Organic,Organic,Conversion,6357.36,365079,0.1029,37550,21204,3030,0.2169,657,466.67,306602.17,47.2279
2024-01-28,CMP_20240128_YouTube,YouTube,Retention,3686.52,120206,0.0556,6689,5314,1162,0.072,83,239.63,19889.2,4.3951
2024-01-29,CMP_20240129_Google_Ads,Google Ads,Awareness,6370.66,191776,0.08,15346,7603,1463,0.1225,179,323.98,57993.09,8.1032
2024-01-29,CMP_20240129_Meta,Meta,Conversion,10206.06,314971,0.0858,27011,18990,2623,0.1206,316,225.49,71255.5,5.9817
2024-01-29,CMP_20240129_Email,Email,Conversion,6200.81,206111,0.0938,19342,14176,3303,0.1024,338,468.97,158512.89,24.5633
2024-01-29,CMP_20240129_Referral,Referral,Conversion,7589.53,171475,0.0919,15756,9725,919,0.1493,137,172.61,23646.93,2.1157
2024-01-29,CMP_20240129_Organic,Organic,Awareness,5235.25,110489,0.0921,10175,6811,1278,0.162,207,348.32,72101.46,12.7723
2024-01-29,CMP_20240129_YouTube,YouTube,Conversion,5574.36,438942,0.0772,33907,19384,3337,0.184,614,223.68,137336.54,23.6372
2024-01-30,CMP_20240130_Google_Ads,Google Ads,Conversion,7839.27,432379,0.137,59250,39337,7502,0.1838,1379,452.99,624669.18,78.6846
2024-01-30,CMP_20240130_Meta,Meta,Conversion,13831.54,857894,0.0715,61374,27025,2576,0.2185,562,406.02,228183.04,15.4973
2024-01-30,CMP_20240130_Email,Email,Awareness,13920.59,377640,0.1098,41452,28603,6879,0.1573,1082,97.86,105887.24,6.6065
2024-01-30,CMP_20240130_Referral,Referral,Awareness,9048.55,670568,0.0974,65316,49943,10532,0.1819,1915,285.05,545874.26,59.3272
2024-01-30,CMP_20240130_Organic,Organic,Retention,2068.01,62821,0.1332,8367,6535,756,0.2393,180,470.54,84696.89,39.9557
2024-01-30,CMP_20240130_YouTube,YouTube,Awareness,7206.81,380376,0.0571,21726,13449,3123,0.0939,293,201.07,58913.36,7.1747
2024-01-31,CMP_20240131_Google_Ads,Google Ads,Conversion,6527.29,381547,0.0923,35224,26853,6464,0.1316,850,65.42,55606.1,7.519
2024-01-31,CMP_20240131_Meta,Meta,Awareness,13180.4,890119,0.0594,52839,34825,3881,0.1341,520,484.23,251799.96,18.1041
2024-01-31,CMP_20240131_Email,Email,Retention,8824.23,480470,0.0796,38254,29693,3632,0.1831,664,411.33,273122.08,29.9514
2024-01-31,CMP_20240131_Referral,Referral,Conversion,8633.84,209695,0.1158,24275,16245,3581,0.1669,597,170.61,101855.53,10.7972
2024-01-31,CMP_20240131_Organic,Organic,Retention,12092.81,678751,0.0814,55264,44044,6356,0.1189,755,182.69,137928.72,10.4058
2024-01-31,CMP_20240131_YouTube,YouTube,Awareness,12213.12,391515,0.079,30936,23069,2886,0.1257,362,77.74,28142.44,1.3043
2024-02-01,CMP_20240201_Google_Ads,Google Ads,Awareness,1874.82,48720,0.1232,6001,3679,658,0.0646,42,212.01,8904.45,3.7495
2024-02-01,CMP_20240201_Meta,Meta,Conversion,1211.62,28715,0.0764,2195,1254,183,0.077,14,419.9,5878.66,3.8519
2024-02-01,CMP_20240201_Email,Email,Awareness,10079.68,534075,0.0823,43973,25790,4611,0.1737,801,256.08,205117.52,19.3496
2024-02-01,CMP_20240201_Referral,Referral,Retention,2170.78,113594,0.1181,13416,9142,1519,0.1183,179,268.78,48112.16,21.1636
2024-02-01,CMP_20240201_Organic,Organic,Conversion,14081.3,815551,0.1327,108241,72720,13991,0.1553,2173,363.91,790771.83,55.1576
2024-02-01,CMP_20240201_YouTube,YouTube,Awareness,13067.7,495026,0.0754,37318,22787,3719,0.1583,588,494.21,290598.23,21.2379
2024-02-02,CMP_20240202_Google_Ads,Google Ads,Retention,7928.63,230045,0.091,20923,15661,3006,0.1716,515,306.13,157654.91,18.8843
2024-02-02,CMP_20240202_Meta,Meta,Awareness,13169.1,592550,0.0889,52681,47211,8347,0.1869,1559,324.91,506527.99,37.4634
